Full author list,First Author(s) & Year,Article Title,Application/Technology,Tech Used,Drone type,is_ag,DOI Link,Abstract,Country(ies),Tools,SEA_status,Section_relevance,In_manuscript
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab6ead0>,Chen et al. (2023),Diversified land conversion deepens understanding of impacts of rapid rubber plantation expansion on plant diversity in the tropics,Rubber plantation impact on plant diversity,Satellite,,1,10.1016/j.scitotenv.2023.162505,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab6eb30>,GMS (Mekong Subregion),<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab6eb90>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab6f160>,Chen et al. (2024),Review of drivers of forest degradation and deforestation in Southeast Asia,Forest degradation & deforestation drivers review,NA (Literature Review),,0,10.1016/j.rsase.2023.101129,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab6f1c0>,Southeast Asia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab6f220>,SEA,Intro/Background,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab6f7f0>,Chen et al. (2023),Identification of Rubber Plantations in Southwestern China Based on Multi-Source Remote Sensing Data and Phenology Windows,Rubber plantation identification,Satellite,,1,10.3390/rs15051228,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab6f850>,China,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab6f8b0>,Non-SEA → review for removal,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab6fe80>,Chen et al. (2023),Anthropogenic activities dominated tropical forest carbon balance in two contrary ways over the Greater Mekong Subregion in the 21st century,Forest carbon balance assessment,Satellite,,0,10.1111/gcb.16688,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab6fee0>,GMS (Mekong Subregion),<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab6ff40>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab8c550>,Cheng et al. (2025),Heatmaps to Guide Siting of Solar and Wind Farms,Solar & wind farm siting,NA (GIS),,0,10.3390/en18040891,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab8c5b0>,"Australia, South Korea, Indonesia",<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab8c610>,SEA,2.3 Robotics,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab8cbe0>,Chiarawipa et al. (2024),Investigating Drivers Impacting Carbon Stock and Carbon Offset in a Large-Scale Rubber Plantation in the Middle South of Thailand,Carbon stock & offset in rubber plantation,Satellite,,1,10.21315/tlsr2024.35.1.8,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab8cc40>,Thailand,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab8cca0>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab8d270>,Chu et al. (2023),"The Study of Extraction Soil Salinity Information from High Resolution Multispectral Remote Sensing Data, Pilot Area in DongNai Province, Vietnam",Soil salinity information extraction,Satellite,,0,10.1007/978-3-031-17808-5_31,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab8d2d0>,Vietnam,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab8d330>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab8d900>,Clementi et al. (2024),GIS-Based Digital Twin Model for Solar Radiation Mapping to Support Sustainable Urban Agriculture Design,Solar radiation mapping for urban agriculture,NA (GIS),,1,10.3390/su16156590,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab8d960>,"Italy, Singapore",<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab8d9c0>,SEA,General,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab8df90>,Çömert et al. (2025),An open event-inventory database of rainfall-induced landslides and their environmental characteristics in the eastern Black Sea region of Türkiye,Landslide inventory database creation,"Satellite, Drone",,0,10.1016/j.enggeo.2025.108258,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab8dff0>,Turkey,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab8e050>,Non-SEA → review for removal,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab8e620>,Cocharda et al. (2023),"The nature of a 'forest transition' in Thua Thien Hue Province, Central Vietnam - A study of land cover changes over five decades",Forest transition & land cover change analysis,Satellite,,0,10.1016/j.landusepol.2023.106887,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab8e680>,Vietnam,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab8e6e0>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab8ecb0>,Contessa et al. (2023),Uncovering Dynamics of Global Mangrove Gains and Losses,Mangrove gains & losses dynamics,Satellite,,0,10.3390/rs15153872,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab8ed10>,Global,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab8ed70>,Background (keep),2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab8f340>,Cui et al. (2023),First assessment of optical and microwave remotely sensed vegetation proxies in monitoring aboveground carbon in tropical Asia,Aboveground carbon monitoring,Satellite,,0,10.1016/j.rse.2023.113619,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab8f3a0>,Tropical Asia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab8f400>,Borderline-SEA → reclassify as SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab8f9d0>,Dahir et al. (2025),REMOTE-SENSING DATA-DRIVEN CLASSIFICATION OF DEFORESTATION BASED ON DEEP LEARNING IN SARAWAK,Deforestation driver classification,Satellite,,0,N/A,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab8fa30>,Malaysia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbab8fa90>,SEA,"2.1 Remote Sensing, 2.4 AI Models",No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaba40a0>,Dalimunthe et al. (2025),"Subsiding Cities: A Case Study of Governance and Environmental Drivers in Semarang, Indonesia",Land subsidence and flood risk governance,Satellite (InSAR),,0,10.3390/urbansci9070266,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaba4100>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaba4160>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaba4730>,Daranagama & Takeuchi (2025),Smartphone application for detecting and visualizing basal stem rot disease stages in oil palm,Oil palm disease detection & visualization,"NA (Smartphone App, Web GIS)",,1,10.3389/frsen.2025.1553844,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaba4790>,Southeast Asia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaba47f0>,SEA,General,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaba4dc0>,Datta-Roy et al. (2025),"The Future of Swidden in the Asian Highlands: Insights from a Village in Upper Siang, Arunachal Pradesh, India",Swidden agriculture land use change,Satellite,,1,10.1007/s10745-025-00600-1,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaba4e20>,India,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaba4e80>,Non-SEA → review for removal,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaba5450>,Dede et al. (2025),"Spatial distribution and environmental factors analysis of foot-and-mouth disease (FMD) in West Java, Indonesia",Foot-and-mouth disease spatial distribution,Satellite,,0,10.1080/23311932.2024.2440549,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaba54b0>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaba5510>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaba5ae0>,Diep et al. (2025),Benefits and Trade-Offs from Land Use and Land Cover Changes Under Different Scenarios in the Coastal Delta of Vietnam,LULC changes and trade-offs,Satellite,,0,10.3390/land14051063,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaba5b40>,Vietnam,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaba5ba0>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaba6170>,Dinh et al. (2023),"Free satellite image data application for monitoring land use cover changes in the kon ha nung plateau, vietnam",Land use/cover change monitoring,Satellite,,0,10.1016/j.heliyon.2023.e12864,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaba61d0>,Vietnam,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaba6230>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaba6800>,Diwa et al. (2024),Onion Mapping Using PRISMA Hyperspectral Image: Comparative Analysis of K-Means Classification and Linear Spectral Unmixing,Onion mapping with hyperspectral imagery,Satellite,,1,10.1117/12.3041512,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaba6860>,Philippines,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaba68c0>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaba6e90>,Do (2024),"Utilizing a fusion of remote sensing data and machine learning models to forecast flood risks to agriculture in Hanoi City, Vietnam",Flood risk forecasting for agriculture,Satellite,,1,10.1007/s12076-024-00382-y,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaba6ef0>,Vietnam,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaba6f50>,SEA,"2.1 Remote Sensing, 2.4 AI Models",Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaba7520>,Do & Do (2025),"The Vulnerability of Industrial Crops in Dak Nong Province, Vietnam: The Impact of Urbanization Using Sentinel-2 Satellite Imagery",Industrial crop vulnerability to urbanization,Satellite,,1,10.1007/s41742-025-00792-w,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaba7580>,Vietnam,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaba75e0>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaba7bb0>,Do & Do (2025),Effects of flooding on rice biomass in Hanoi city on the basis of deep learning application and Sentinel-1A data,Flood effects on rice biomass estimation,Satellite,,1,10.1007/s12518-025-00631-9,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaba7c10>,Vietnam,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbaba7c70>,SEA,"2.1 Remote Sensing; 3.1 HTP/Phenotyping, 2.4 AI Models",Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc0280>,Do (2025),"Employing GIS and Remote Sensing to Assess the Effects of Landscape Fragmentation and Urban Growth on Terrain Surface Changes and Disaster Risk Reduction in the Southern Region of the Huong River in Hue, Vietnam",Landscape fragmentation & urban growth effects,NA (GIS & Remote Sensing),,0,10.1007/s12524-025-02282-0,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc02e0>,Vietnam,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc0340>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc0910>,Dröge et al. (2025),"Does cocoa certification influence vegetation cover and tree cover loss? A case study from Sulawesi, Indonesia",Cocoa certification impact on vegetation cover,Satellite,,1,10.1080/21683565.2025.2524734,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc0970>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc09d0>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc0fa0>,Dumdumaya & Cabrera (2023),"Determination of future land use changes using remote sensing imagery and artificial neural network algorithm: A case study of Davao City, Philippines",Future land use change prediction,Satellite,,0,10.1016/j.aiig.2023.08.002,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc1000>,Philippines,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc1060>,SEA,"2.1 Remote Sensing, 2.4 AI Models",No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc1630>,Dwiputra et al. (2023),GEDI waveform metrics in vegetation mapping-a case study from a heterogeneous tropical forest landscape,Vegetation mapping,Satellite (GEDI LiDAR),,0,10.1088/1748-9326/acad8d,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc1690>,Cambodia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc16f0>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc1cc0>,Ebright et al. (2023),Protected Areas Conserved Forests from Fire and Deforestation in Vietnam's Central Highlands from 2001 to 2020,Forest conservation and fire impact,Satellite,,0,10.3390/fire6040164,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc1d20>,Vietnam,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc1d80>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc2350>,Edirisinghe et al. (2023),Long-Term Rainfall Variability and Trends for Climate Risk Management in the Summer Monsoon Region of Southeast Asia,Rainfall variability & trends analysis,Satellite,,0,10.1155/2023/2693008,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc23b0>,Southeast Asia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc2410>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc29e0>,Eini et al. (2023),Satellite-based soil moisture enhances the reliability of agro-hydrological modeling in large transboundary river basins,Agro-hydrological modeling,Satellite,,1,10.1016/j.scitotenv.2023.162396,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc2a40>,Europe (Odra Basin),<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc2aa0>,Non-SEA → review for removal,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc3070>,Ekaputri et al. (2024),"Modeling vegetation density with remote sensing, normalized difference vegetation index and biodiversity plants in watershed area",Vegetation density & plant diversity modeling,Satellite,,0,10.22034/gjesm.2024.04.19,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc30d0>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc3130>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc3700>,Escasio et al. (2023),USING MACHINE LEARNING CLASSIFIERS AND REGRESSION MODELS FOR ESTIMATING THE STAND AGES OF FALCATA PLANTATIONS FROM SENTINEL DATA,Falcata plantation stand age estimation,Satellite,,0,10.5194/isprs-archives-XLVIII-4-W6-2022-465-2023,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc3760>,Philippines,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc37c0>,SEA,"2.1 Remote Sensing, 2.4 AI Models",No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc3d90>,Fan et al. (2025),A Rice-Mapping Method with Integrated Automatic Generation of Training Samples and Random Forest Classification Using Google Earth Engine,Rice mapping,Satellite,,1,10.3390/agronomy15040873,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc3df0>,China,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc3e50>,Non-SEA → review for removal,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc8460>,Fang et al. (2024),"A comprehensive review of rice mapping from satellite data: Algorithms, product characteristics and consistency assessment",Rice mapping methods & products review,Satellite,,1,10.1016/j.srs.2024.100172,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc84c0>,"China, Vietnam",<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc8520>,SEA,2.1 Remote Sensing; Intro/Background,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc8af0>,Fatchurrachman et al. (2023),Automated near-real-time mapping and monitoring of rice growth extent and stages in Selangor Malaysia,Rice growth extent & stages monitoring,Satellite,,1,10.1016/j.rsase.2023.100993,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc8b50>,Malaysia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc8bb0>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc9180>,Fatchurrachman et al. (2025),Rice Extent and Cropping Patterns in Terengganu Malaysia Based on Sentinel-2 Data on Google Earth Engine,Rice extent & cropping pattern mapping,Satellite,,1,10.47836/pjst.33.1.21,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc91e0>,Malaysia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc9240>,SEA,2.1 Remote Sensing,Yes
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc9810>,Fauzi et al. (2024),Modelling Potential Vegetation Index for Paddy Field Mapping in Malaysia Using Satellite Imagery,Paddy field mapping,Satellite,,1,10.1109/ICOM61675.2024.10652454,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc9870>,Malaysia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc98d0>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc9ea0>,Faxon (2023),"Small farmers, big tech: agrarian commerce and knowledge on Myanmar Facebook",Agrarian commerce on Facebook,NA (Social Media Analysis),,0,10.1007/s10460-023-10446-2,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc9f00>,Myanmar,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabc9f60>,SEA,General,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabca530>,Febriandi et al. (2025),"PREDICTING OF LAND COVER CHANGES UNTIL 2030 AND ASSESSING SUSTAINABILITY STATUS IN THE MANDEH REGION, INDONESIA",LULC changes and tourism sustainability,Satellite,,0,10.21163/GT_2025.201.18,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabca590>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabca5f0>,SEA,2.1 Remote Sensing,No
<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabcabc0>,"Fikri, M et al. (2023)",SELECTED AGRONOMIC TRAITS AND DRONE APPLICATION IN CORN YIELD PREDICTION,Corn yield prediction,Drone,ms,1,10.54910/sabrao2023.55.2.22,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabcac20>,Indonesia,<openpyxl.worksheet.formula.ArrayFormula object at 0xe80bbabcac80>,SEA,2.1 Remote Sensing,Yes
